"","time","masking_compliance","date"
"104",104,0,2020-07-13
"105",105,0,2020-07-14
"106",106,0,2020-07-15
"107",107,0,2020-07-16
"108",108,0,2020-07-17
"109",109,0,2020-07-18
"110",110,0,2020-07-19
"111",111,0,2020-07-20
"112",112,0,2020-07-21
"113",113,0,2020-07-22
"114",114,0,2020-07-23
"115",115,0,2020-07-24
"116",116,0,2020-07-25
"117",117,0,2020-07-26
"118",118,0,2020-07-27
"119",119,0,2020-07-28
"120",120,0,2020-07-29
"121",121,0,2020-07-30
"122",122,0,2020-07-31
"123",123,0,2020-08-01
"124",124,0,2020-08-02
"125",125,0,2020-08-03
"126",126,0,2020-08-04
"127",127,0,2020-08-05
"128",128,0,2020-08-06
"129",129,0,2020-08-07
"130",130,0,2020-08-08
"131",131,0,2020-08-09
"132",132,0,2020-08-10
"133",133,0,2020-08-11
"134",134,0,2020-08-12
"135",135,0,2020-08-13
"136",136,0,2020-08-14
"137",137,0,2020-08-15
"138",138,0,2020-08-16
"139",139,0,2020-08-17
"140",140,0,2020-08-18
"141",141,0,2020-08-19
"142",142,0,2020-08-20
"143",143,0,2020-08-21
"144",144,0,2020-08-22
"145",145,0,2020-08-23
"146",146,0,2020-08-24
"147",147,0,2020-08-25
"148",148,0,2020-08-26
"149",149,0,2020-08-27
"150",150,0,2020-08-28
"151",151,0,2020-08-29
"152",152,0,2020-08-30
"153",153,0,2020-08-31
"154",154,0,2020-09-01
"155",155,0,2020-09-02
"156",156,0,2020-09-03
"157",157,0,2020-09-04
"158",158,0,2020-09-05
"159",159,0,2020-09-06
"160",160,0,2020-09-07
"161",161,0,2020-09-08
"162",162,0,2020-09-09
"163",163,0,2020-09-10
"164",164,0,2020-09-11
"165",165,0,2020-09-12
"166",166,0,2020-09-13
"167",167,0,2020-09-14
"168",168,0,2020-09-15
"169",169,0,2020-09-16
"170",170,0,2020-09-17
"171",171,0,2020-09-18
"172",172,0,2020-09-19
"173",173,0,2020-09-20
"174",174,0,2020-09-21
"175",175,0,2020-09-22
"176",176,0,2020-09-23
"177",177,0,2020-09-24
"178",178,0,2020-09-25
"179",179,0,2020-09-26
"180",180,0.005,2020-09-27
"181",181,0.01,2020-09-28
"182",182,0.015,2020-09-29
"183",183,0.02,2020-09-30
"184",184,0.025,2020-10-01
"185",185,0.03,2020-10-02
"186",186,0.035,2020-10-03
"187",187,0.04,2020-10-04
"188",188,0.045,2020-10-05
"189",189,0.05,2020-10-06
"190",190,0.05,2020-10-07
"191",191,0.05,2020-10-08
"192",192,0.05,2020-10-09
"193",193,0.05,2020-10-10
"194",194,0.05,2020-10-11
"195",195,0.05,2020-10-12
"196",196,0.05,2020-10-13
"197",197,0.05,2020-10-14
"198",198,0.05,2020-10-15
"199",199,0.05,2020-10-16
"200",200,0.05,2020-10-17
"201",201,0.05,2020-10-18
"202",202,0.05,2020-10-19
"203",203,0.05,2020-10-20
"204",204,0.05,2020-10-21
"205",205,0.05,2020-10-22
"206",206,0.05,2020-10-23
"207",207,0.05,2020-10-24
"208",208,0.05,2020-10-25
"209",209,0.05,2020-10-26
"210",210,0.05,2020-10-27
"211",211,0.05,2020-10-28
"212",212,0.05,2020-10-29
"213",213,0.05,2020-10-30
"214",214,0.05,2020-10-31
"215",215,0.05,2020-11-01
"216",216,0.05,2020-11-02
"217",217,0.05,2020-11-03
"218",218,0.05,2020-11-04
"219",219,0.05,2020-11-05
"220",220,0.05,2020-11-06
"221",221,0.05,2020-11-07
"222",222,0.05,2020-11-08
"223",223,0.05,2020-11-09
"224",224,0.05,2020-11-10
"225",225,0.05,2020-11-11
"226",226,0.05,2020-11-12
"227",227,0.05,2020-11-13
"228",228,0.05,2020-11-14
"229",229,0.05,2020-11-15
"230",230,0.05,2020-11-16
"231",231,0.05,2020-11-17
"232",232,0.05,2020-11-18
"233",233,0.05,2020-11-19
"234",234,0.05,2020-11-20
"235",235,0.05,2020-11-21
"236",236,0.05,2020-11-22
"237",237,0.05,2020-11-23
"238",238,0.05,2020-11-24
"239",239,0.05,2020-11-25
"240",240,0.05,2020-11-26
"241",241,0.05,2020-11-27
"242",242,0.05,2020-11-28
"243",243,0.05,2020-11-29
"244",244,0.05,2020-11-30
"245",245,0.05,2020-12-01
"246",246,0.05,2020-12-02
"247",247,0.05,2020-12-03
"248",248,0.05,2020-12-04
"249",249,0.05,2020-12-05
"250",250,0.05,2020-12-06
"251",251,0.05,2020-12-07
"252",252,0.05,2020-12-08
"253",253,0.05,2020-12-09
"254",254,0.05,2020-12-10
"255",255,0.05,2020-12-11
"256",256,0.05,2020-12-12
"257",257,0.05,2020-12-13
"258",258,0.05,2020-12-14
"259",259,0.05,2020-12-15
"260",260,0.05,2020-12-16
"261",261,0.05,2020-12-17
"262",262,0.05,2020-12-18
"263",263,0.05,2020-12-19
"264",264,0.05,2020-12-20
"265",265,0.05,2020-12-21
"266",266,0.05,2020-12-22
"267",267,0.05,2020-12-23
"268",268,0.05,2020-12-24
"269",269,0.05,2020-12-25
"270",270,0.05,2020-12-26
"271",271,0.05,2020-12-27
"272",272,0.05,2020-12-28
"273",273,0.05,2020-12-29
"274",274,0.05,2020-12-30
"275",275,0.05,2020-12-31
"276",276,0.05,2021-01-01
"277",277,0.05,2021-01-02
"278",278,0.05,2021-01-03
"279",279,0.05,2021-01-04
"280",280,0.05,2021-01-05
"281",281,0.05,2021-01-06
"282",282,0.05,2021-01-07
"283",283,0.05,2021-01-08
"284",284,0.05,2021-01-09
"285",285,0.05,2021-01-10
"286",286,0.05,2021-01-11
"287",287,0.05,2021-01-12
"288",288,0.05,2021-01-13
"289",289,0.05,2021-01-14
"290",290,0.05,2021-01-15
"291",291,0.05,2021-01-16
"292",292,0.05,2021-01-17
"293",293,0.05,2021-01-18
"294",294,0.05,2021-01-19
"295",295,0.05,2021-01-20
"296",296,0.05,2021-01-21
"297",297,0.05,2021-01-22
"298",298,0.05,2021-01-23
"299",299,0.05,2021-01-24
"300",300,0.05,2021-01-25
"301",301,0.05,2021-01-26
"302",302,0.05,2021-01-27
"303",303,0.05,2021-01-28
"304",304,0.05,2021-01-29
"305",305,0.05,2021-01-30
"306",306,0.05,2021-01-31
"307",307,0.05,2021-02-01
"308",308,0.05,2021-02-02
"309",309,0.05,2021-02-03
"310",310,0.05,2021-02-04
"311",311,0.05,2021-02-05
"312",312,0.05,2021-02-06
"313",313,0.05,2021-02-07
"314",314,0.05,2021-02-08
"315",315,0.05,2021-02-09
"316",316,0.05,2021-02-10
"317",317,0.05,2021-02-11
"318",318,0.05,2021-02-12
"319",319,0.05,2021-02-13
"320",320,0.05,2021-02-14
"321",321,0.05,2021-02-15
"322",322,0.05,2021-02-16
"323",323,0.05,2021-02-17
"324",324,0.05,2021-02-18
"325",325,0.05,2021-02-19
"326",326,0.05,2021-02-20
"327",327,0.05,2021-02-21
"328",328,0.05,2021-02-22
"329",329,0.05,2021-02-23
"330",330,0.05,2021-02-24
"331",331,0.05,2021-02-25
"332",332,0.05,2021-02-26
"333",333,0.05,2021-02-27
"334",334,0.05,2021-02-28
"335",335,0.05,2021-03-01
"336",336,0.05,2021-03-02
"337",337,0.05,2021-03-03
"338",338,0.05,2021-03-04
"339",339,0.05,2021-03-05
"340",340,0.05,2021-03-06
"341",341,0.05,2021-03-07
"342",342,0.05,2021-03-08
"343",343,0.05,2021-03-09
"344",344,0.05,2021-03-10
"345",345,0.05,2021-03-11
"346",346,0.05,2021-03-12
"347",347,0.05,2021-03-13
"348",348,0.05,2021-03-14
"349",349,0.05,2021-03-15
"350",350,0.05,2021-03-16
"351",351,0.05,2021-03-17
"352",352,0.05,2021-03-18
"353",353,0.05,2021-03-19
"354",354,0.05,2021-03-20
"355",355,0.05,2021-03-21
"356",356,0.05,2021-03-22
"357",357,0.05,2021-03-23
"358",358,0.05,2021-03-24
"359",359,0.05,2021-03-25
"360",360,0.05,2021-03-26
"361",361,0.05,2021-03-27
"362",362,0.05,2021-03-28
"363",363,0.05,2021-03-29
"364",364,0.05,2021-03-30
"365",365,0.05,2021-03-31
"366",366,0.05,2021-04-01
"367",367,0.05,2021-04-02
"368",368,0.05,2021-04-03
"369",369,0.05,2021-04-04
"370",370,0.05,2021-04-05
"371",371,0.05,2021-04-06
"372",372,0.05,2021-04-07
"373",373,0.05,2021-04-08
"374",374,0.05,2021-04-09
"375",375,0.05,2021-04-10
"376",376,0.05,2021-04-11
"377",377,0.05,2021-04-12
"378",378,0.05,2021-04-13
"379",379,0.05,2021-04-14
"380",380,0.05,2021-04-15
"381",381,0.05,2021-04-16
"382",382,0.05,2021-04-17
"383",383,0.05,2021-04-18
"384",384,0.05,2021-04-19
"385",385,0.05,2021-04-20
"386",386,0.05,2021-04-21
"387",387,0.05,2021-04-22
"388",388,0.05,2021-04-23
"389",389,0.05,2021-04-24
"390",390,0.05,2021-04-25
"391",391,0.05,2021-04-26
"392",392,0.05,2021-04-27
"393",393,0.05,2021-04-28
"394",394,0.05,2021-04-29
"395",395,0.05,2021-04-30
"396",396,0.05,2021-05-01
"397",397,0.05,2021-05-02
"398",398,0.05,2021-05-03
"399",399,0.05,2021-05-04
"400",400,0.05,2021-05-05
"401",401,0.05,2021-05-06
"402",402,0.05,2021-05-07
"403",403,0.05,2021-05-08
"404",404,0.05,2021-05-09
"405",405,0.05,2021-05-10
"406",406,0.05,2021-05-11
"407",407,0.05,2021-05-12
"408",408,0.05,2021-05-13
"409",409,0.05,2021-05-14
"410",410,0.05,2021-05-15
"411",411,0.05,2021-05-16
"412",412,0.05,2021-05-17
"413",413,0.05,2021-05-18
"414",414,0.05,2021-05-19
"415",415,0.05,2021-05-20
"416",416,0.05,2021-05-21
"417",417,0.05,2021-05-22
"418",418,0.05,2021-05-23
"419",419,0.05,2021-05-24
"420",420,0.05,2021-05-25
"421",421,0.05,2021-05-26
"422",422,0.05,2021-05-27
"423",423,0.05,2021-05-28
"424",424,0.05,2021-05-29
"425",425,0.05,2021-05-30
"426",426,0.05,2021-05-31
"427",427,0.05,2021-06-01
"428",428,0.05,2021-06-02
"429",429,0.05,2021-06-03
"430",430,0.05,2021-06-04
"431",431,0.05,2021-06-05
"432",432,0.05,2021-06-06
"433",433,0.05,2021-06-07
"434",434,0.05,2021-06-08
"435",435,0.05,2021-06-09
"436",436,0.05,2021-06-10
"437",437,0.05,2021-06-11
"438",438,0.05,2021-06-12
"439",439,0.05,2021-06-13
"440",440,0.05,2021-06-14
"441",441,0.05,2021-06-15
"442",442,0.05,2021-06-16
"443",443,0.05,2021-06-17
"444",444,0.05,2021-06-18
"445",445,0.05,2021-06-19
"446",446,0.05,2021-06-20
"447",447,0.05,2021-06-21
"448",448,0.05,2021-06-22
"449",449,0.05,2021-06-23
"450",450,0.05,2021-06-24
"451",451,0.05,2021-06-25
"452",452,0.05,2021-06-26
"453",453,0.05,2021-06-27
"454",454,0.05,2021-06-28
"455",455,0.05,2021-06-29
"456",456,0.05,2021-06-30
"457",457,0.05,2021-07-01
"458",458,0.05,2021-07-02
"459",459,0.05,2021-07-03
"460",460,0.05,2021-07-04
"461",461,0.05,2021-07-05
"462",462,0.05,2021-07-06
"463",463,0.05,2021-07-07
"464",464,0.05,2021-07-08
"465",465,0.05,2021-07-09
"466",466,0.05,2021-07-10
"467",467,0.05,2021-07-11
"468",468,0.05,2021-07-12
"469",469,0.05,2021-07-13
"470",470,0.05,2021-07-14
"471",471,0.05,2021-07-15
"472",472,0.05,2021-07-16
"473",473,0.05,2021-07-17
"474",474,0.05,2021-07-18
"475",475,0.05,2021-07-19
"476",476,0.05,2021-07-20
"477",477,0.05,2021-07-21
"478",478,0.05,2021-07-22
"479",479,0.05,2021-07-23
"480",480,0.05,2021-07-24
"481",481,0.05,2021-07-25
"482",482,0.05,2021-07-26
"483",483,0.05,2021-07-27
"484",484,0.05,2021-07-28
"485",485,0.05,2021-07-29
"486",486,0.05,2021-07-30
"487",487,0.05,2021-07-31
"488",488,0.05,2021-08-01
"489",489,0.05,2021-08-02
"490",490,0.05,2021-08-03
"491",491,0.05,2021-08-04
"492",492,0.05,2021-08-05
"493",493,0.05,2021-08-06
"494",494,0.05,2021-08-07
"495",495,0.05,2021-08-08
"496",496,0.05,2021-08-09
"497",497,0.05,2021-08-10
"498",498,0.05,2021-08-11
"499",499,0.05,2021-08-12
"500",500,0.05,2021-08-13
"501",501,0.05,2021-08-14
"502",502,0.05,2021-08-15
"503",503,0.05,2021-08-16
"504",504,0.05,2021-08-17
"505",505,0.05,2021-08-18
"506",506,0.05,2021-08-19
"507",507,0.05,2021-08-20
"508",508,0.05,2021-08-21
"509",509,0.05,2021-08-22
"510",510,0.05,2021-08-23
"511",511,0.05,2021-08-24
"512",512,0.05,2021-08-25
"513",513,0.05,2021-08-26
"514",514,0.05,2021-08-27
"515",515,0.05,2021-08-28
"516",516,0.05,2021-08-29
"517",517,0.05,2021-08-30
