Organisation unit,avdhr,avdlr,ba,bu,gud,gw,lap,nc,other,ss,syph,ud,rec,dorm,Longtitude,Latitude,District
Bolero Rural Hospital,35,10,1,2,31,0,29,0,6,1,20,67,79,51,33.74342,-10.97843,Rumphi-DHO
Bondo Health Centre,67,19,0,0,20,0,3,0,1,0,16,40,59,36,35.49075,-15.90334,Mulanje-DHO
Bowe Health Centre,17,1,0,0,7,0,49,0,9,0,3,20,21,10,33.68392,-13.27878,Dowa-DHO
Bua Health Center (Nkhotakota),0,0,0,0,2,0,0,0,0,0,1,15,15,3,33.53859,-13.29403,Nkhotakota-DHO
Bua Health Centre (Kasungu),5,47,1,0,5,0,33,0,0,1,5,42,89,10,33.538693,-13.293993,Kasungu-DHO
Bula Health Centre,5,0,1,0,3,1,5,0,3,0,1,7,7,5,34.12324,-11.22268,Nkhata-Bay-DHO
Bulala Health Centre,17,0,0,0,17,0,4,0,1,0,12,9,9,29,33.44798,-11.6781,Mzimba-South-DHO
Bunda Clinic,21,3,0,0,2,0,7,0,0,0,0,11,14,2,33.77554,-14.18038,Lilongwe-DHO
Bvumbwe Health Centre,79,9,2,0,36,1,34,5,12,2,66,93,107,103,35.03183,-15.99203,Thyolo-DHO
Bwaila Hospital,526,390,26,30,1112,102,236,84,58,19,293,665,1169,1507,33.77561,-13.99164,#N/A
Bwanje Health Centre,23,2,2,1,26,0,19,0,14,2,2,26,29,28,34.77445,-14.64857,Ntcheu-DHO
Bwengu Health Centre,7,0,0,0,11,0,1,0,0,1,0,9,9,11,33.91646,-11.06356,Mzimba-North-DHO
Chabvala Health Centre,6,0,0,0,1,0,0,0,0,0,0,9,9,1,34.834342,-15.833894,Blantyre-DHO
Chadza Health Centre,13,3,0,0,2,0,12,0,0,0,8,20,23,10,33.84167,-14.14715,Lilongwe-DHO
Chagunda,11,6,0,0,4,0,11,0,0,2,0,17,23,4,34.36721,-13.88028,Salima-DHO
Chakhaza Health Centre,15,4,2,0,6,1,11,0,0,0,2,25,29,9,33.64676,-13.44421,Dowa-DHO
Chamama Health Facility,3,0,0,0,9,0,3,0,2,0,0,16,16,9,33.776861,-12.924306,Kasungu-DHO
Chamba Health Centre (Machinga),9,2,0,0,4,0,1,0,0,0,0,13,15,4,35.42137,-15.20234,Machinga-DHO
Chamba Health Centre (Zomba),32,4,0,0,23,0,6,0,0,0,19,23,27,42,35.51662,-15.46571,Zomba-DHO
Chambe Health Centre,16,15,2,2,3,1,3,5,1,0,23,11,33,27,35.482338,-16.071315,Mulanje-DHO
Chambo Health Centre,3,1,0,0,1,0,1,0,0,0,4,7,8,5,33.39795,-9.94361,Chitipa-DHO
Champiti Health Centre,5,0,0,0,5,0,0,0,0,1,8,9,9,13,34.73185,-14.90241,Ntcheu-DHO
Chamwabvi Dispensary,14,9,0,0,6,0,6,0,0,0,1,11,20,7,33.685327,-13.10768,Kasungu-DHO
Changalume Barracks Clinic(Muluzi),20,2,0,0,13,0,21,0,1,0,2,18,20,15,35.21184,-15.3896,#N/A
Changata Health Centre,30,1,0,0,15,0,8,0,0,0,18,29,30,33,35.061008,-16.078196,Thyolo-DHO
Chankhungu Health Centre,38,2,0,0,6,0,45,0,5,0,10,42,44,16,34.01471,-13.76492,Dowa-DHO
Chapananga Health Centre,28,7,0,1,8,0,7,0,5,0,4,35,43,12,34.77572,-16.39842,Chikwawa-DHO
Chesamu Health Centre,0,0,0,0,3,0,4,0,0,0,0,0,0,3,34.01836,-11.85422,#N/A
Chididi Health Centre (Nkhotakota),0,5,0,0,2,0,5,0,8,2,2,2,7,4,34.31474,-13.08573,Nkhotakota-DHO
Chididi Health Centre (Nsanje),1,1,0,0,5,0,0,0,2,0,0,4,5,5,35.109333,-16.999306,Nsanje-DHO
Chifunga Health Centre,42,9,1,1,16,0,5,0,0,1,4,17,27,20,34.65182,-15.47368,Neno-DHO
Chigodi Health Centre,6,1,0,1,6,0,3,0,0,1,0,11,13,6,34.54126,-14.49194,Ntcheu-DHO
Chikande Health Centre,7,3,0,0,1,1,4,0,1,0,0,4,7,2,34.90768,-14.77261,Ntcheu-DHO
Chikangawa Health Centre,2,4,0,0,24,0,2,0,20,0,2,33,37,26,33.78759,-11.84362,Mzimba-South-DHO
Chikole Dispensary,0,7,0,0,2,0,3,0,0,2,3,8,15,5,35.38427,-14.422,Mangochi-DHO
Chikowa Dispensary,9,4,0,0,15,0,7,0,0,4,8,23,27,23,34.72019,-14.344956,#N/A
Chikowa Health Centre (Blantyre),45,16,2,0,5,0,18,0,0,5,0,47,63,5,34.871017,-15.671466,Blantyre-DHO
Chikowa Health Centre (Lilongwe),3,107,0,0,11,3,27,0,1,3,5,10,117,19,33.45821,-13.72929,Lilongwe-DHO
Chikuse Health Centre,46,0,0,2,20,0,4,0,0,10,5,22,24,25,34.31881,-14.15069,Dedza-DHO
Chikwawa District Hospital,261,186,2,3,219,9,140,1,50,9,471,350,540,699,34.47629,-15.80369,Chikwawa-DHO
Chikweo Health Centre,46,4,0,3,17,0,17,3,6,0,21,74,84,38,35.66691,-14.7655,Machinga-DHO
Chikwina Health Centre,6,3,1,1,2,0,1,0,0,0,6,5,9,8,34.16973,-11.39694,Nkhata-Bay-DHO
Chilambwe Health Centre,3,0,0,0,4,0,2,0,2,0,4,8,8,8,34.31617,-11.69114,Nkhata-Bay-DHO
Chileka Health Centre,9,7,0,1,11,0,3,0,6,1,15,51,59,26,34.970663,-15.682466,Blantyre-DHO
Chileka Health Centre (Lilongwe),32,12,16,0,6,0,14,0,0,4,4,23,35,10,33.385448,-14.020901,Lilongwe-DHO
Chileka Sda Health Centre,0,1,0,0,0,0,0,0,2,0,0,3,4,0,34.929188,-15.660077,Blantyre-DHO
Chilipa Health Centre (Mangochi),21,5,0,0,8,0,4,0,0,4,1,32,37,9,34.9732,-14.6996,Mangochi-DHO
Chilipa Health Centre (Zomba),4,4,0,0,9,0,7,0,1,0,5,15,19,14,35.11715,-15.32447,Zomba-DHO
Chilobwe Majiga Health Centre,19,3,2,1,9,0,8,0,0,0,0,12,16,9,33.37439,-13.85467,Lilongwe-DHO
Chilomoni Health Centre,41,6,0,0,26,0,12,0,5,0,9,47,53,35,34.98148,-15.771294,Blantyre-DHO
Chilonga Health Centre,22,0,0,0,3,1,19,0,2,0,13,21,21,17,34.871205,-14.467233,Mangochi-DHO
Chilumba Barracks Health Centre,25,4,2,3,12,0,10,0,2,1,1,29,36,13,34.20897,-10.39021,Karonga-DHO
Chilumba Rural Hospital,16,3,1,0,13,0,4,0,3,0,4,33,36,17,34.25193,-10.43199,Karonga-DHO
Chimaliro Health Centre,42,19,0,0,24,0,6,0,30,0,65,36,55,89,35.12308,-15.94198,Thyolo-DHO
Chimatiro Health Centre,7,10,0,1,10,0,7,0,1,0,0,15,26,10,34.95176,-14.98717,#N/A
Chimbalanga Health Centre,12,8,0,1,6,0,21,2,10,0,4,9,20,10,34.12567,-13.9358,Lilongwe-DHO
Chimembe Health Centre,20,0,0,0,12,0,17,0,0,0,1,9,9,13,34.885395,-15.777547,Blantyre-DHO
Chimoto Health Centre,7,4,0,0,18,0,2,0,0,2,12,19,23,30,34.01021,-14.44268,Dedza-DHO
Chimvu Health Centre,30,11,7,2,20,2,55,2,36,0,52,31,46,74,35.20595,-15.91842,Thyolo-DHO
Chimwala Dispensary,1,3,0,0,0,0,0,0,0,0,0,4,7,0,33.79419,-14.05121,Lilongwe-DHO
Chimwamkango Dispensary,13,2,3,1,14,0,37,2,0,0,4,38,43,18,32.99357,-13.40461,Mchinji-DHO
Chingale Health Centre,50,22,2,0,15,2,19,2,1,1,41,69,93,58,35.1808,-15.39694,Zomba-DHO
Chingazi Health Centre,8,5,0,0,8,0,14,1,2,5,10,25,31,18,35.205799,-15.918509,Thyolo-DHO
Chinguluwe Health Centre (Ntchisi),7,7,0,0,10,0,38,0,2,4,3,14,21,13,33.86851,-13.26166,Ntchisi-DHO
Chinguluwe Health Centre (Salima),18,4,0,2,8,0,12,0,0,1,1,26,32,9,34.38503,-13.66454,Salima-DHO
Chinkhwiri Health Centre,17,1,0,0,4,0,0,0,0,2,0,23,24,4,33.72106,-13.38557,Dowa-DHO
Chinthebe Dispensary,14,19,0,0,5,0,3,0,0,0,0,6,25,5,35.208987,-15.941732,Thyolo-DHO
Chintheche Rural Hospital,16,1,3,1,7,1,14,0,2,0,11,44,46,19,34.16836,-11.82719,Nkhata-Bay-DHO
Chinthembwe Health Centre,0,4,0,0,2,1,9,2,1,1,5,6,12,8,33.97527,-13.43326,Ntchisi-DHO
Chinyama Health Centre,10,2,0,0,7,0,0,0,0,0,33,8,10,40,35.70899,-16.03822,Mulanje-DHO
Chioshya Health Centre,4,0,0,0,1,0,14,0,0,0,0,6,6,1,33.17534,-13.79586,Mchinji-DHO
Chipho Health Centre,6,2,0,0,17,0,20,0,1,0,14,9,11,31,35.20879,-15.94181,Thyolo-DHO
Chipini Health Centre,2,14,0,0,10,0,17,0,5,5,11,25,39,21,35.09531,-15.39007,Zomba-DHO
Chipoka Health Centre,28,0,0,0,19,0,9,0,1,0,7,23,23,26,34.51545,-13.98973,Salima-DHO
Chiponde Health Centre (Mangochi),35,2,1,2,23,0,26,0,1,0,22,37,41,45,35.6017,-14.37341,Mangochi-DHO
Chipumi Health Centre,101,52,9,2,37,3,11,3,3,2,22,114,171,62,33.08151,-13.62519,Mchinji-DHO
Chipwaila Health Centre,22,4,1,3,7,0,10,1,10,0,30,70,78,37,34.775923,-16.398375,Chikwawa-DHO
Chipwanya St Josephs Health Centre,12,11,1,0,16,0,10,0,7,1,0,17,28,16,34.258733,-14.076363,Dedza-DHO
Chiradzulu District Hospital,76,42,6,3,48,4,26,1,10,1,81,79,125,133,35.17419,-15.71072,Chiradzulu-DHO
Chiringa Health Centre,10,4,0,0,11,0,10,0,0,0,18,5,9,29,35.57244,-15.55218,Phalombe-DHO
Chiringa Maternity,26,8,0,0,19,0,7,0,1,0,71,18,26,90,35.76216,-15.76583,#N/A
Chisala Health Centre,4,0,0,0,11,0,0,0,0,0,2,12,12,13,34.12201,-11.57458,Nkhata-Bay-DHO
Chisepo Health Centre,3,7,0,1,8,0,8,0,1,0,0,13,21,8,33.47017,-13.63492,Dowa-DHO
Chisi Health Centre,0,2,0,0,1,0,3,0,0,2,0,7,9,1,35.605349,-15.325416,Zomba-DHO
Chisitu Health Centre,32,5,2,2,9,0,8,1,6,0,33,25,33,42,35.32333,-15.99708,Mulanje-DHO
Chitala Health Centre,8,2,3,2,3,0,6,0,0,0,2,10,14,5,34.27174,-13.67161,Salima-DHO
Chitedze Health Centre,113,9,1,1,14,0,23,0,2,0,7,96,106,21,33.64529,-13.97684,Lilongwe-DHO
Chitekesa Health Centre,66,15,0,1,52,0,29,0,3,0,64,45,61,116,35.72838,-15.67187,Phalombe-DHO
Chitera Health Centre,10,19,0,0,20,0,6,0,2,0,4,24,43,24,35.12306,-15.60646,Chiradzulu-DHO
Chitheka Health Centre,6,2,1,1,5,0,6,0,7,1,0,19,22,5,33.95147,-11.70191,Nkhata-Bay-DHO
Chithumba Health Centre,2,16,0,1,4,0,7,0,0,0,4,15,32,8,34.92423,-16.55349,Chikwawa-DHO
Chitimba Health Centre,7,1,0,0,0,0,11,0,22,2,2,23,24,2,34.17026,-10.59808,Rumphi-DHO
Chitipa District Hospital,242,60,15,1,116,6,163,10,12,17,22,308,379,144,33.2659,-9.70159,Chitipa-DHO
Chitowo Health Centre,57,0,0,1,11,0,7,0,0,1,11,9,10,22,34.03961,-14.22584,Dedza-DHO
Chitsimuka Health Centre,1,3,0,0,2,0,2,0,0,1,0,3,6,2,33.557405,-10.769208,Rumphi-DHO
Chiumbangame Health Centre,1,2,0,0,2,0,3,1,11,1,1,5,8,3,35.55721,-14.31739,Mangochi-DHO
Chiunda Dispensary,2,13,0,0,15,0,1,0,0,0,0,13,26,15,35.43901,-14.77744,Mangochi-DHO
Chiunjiza Health Centre,53,0,0,0,19,0,0,0,0,0,4,43,43,23,33.4013,-14.24322,Lilongwe-DHO
Chiwamba Health Centre,40,3,2,0,23,0,15,0,0,3,2,20,23,25,33.92926,-13.8571,Lilongwe-DHO
Chiwe Health Centre,5,0,0,0,1,0,0,0,0,0,0,6,6,1,33.39862,-13.90738,Lilongwe-DHO
Chiyendausiku Health Centre,8,6,0,0,16,0,9,0,2,1,8,17,23,24,35.023092,-14.962681,Balaka-DHO
Chizolowondo Health Centre,21,5,0,0,9,0,0,0,0,2,6,22,27,15,33.51328,-13.46336,Dowa-DHO
Chizumulo St Marys Health Centre,6,0,0,0,3,0,2,0,3,0,1,13,13,4,34.62425,-12.02934,Likoma-DHO
Choma Health Centre,5,6,0,0,8,0,6,0,0,0,0,19,25,8,33.99327,-11.31318,Mzimba-North-DHO
Chonde Rural Hospital,5,17,0,0,11,0,26,0,2,0,41,56,73,52,35.480067,-15.962755,Mulanje-DHO
Chongoni Health Centre,5,4,0,0,5,0,0,0,0,1,0,27,31,5,34.26677,-14.31971,Dedza-DHO
Chulu Health Centre,12,2,0,0,12,0,14,0,1,0,1,11,13,13,33.307951,-12.822104,Kasungu-DHO
City Clinic Zomba,22,18,2,1,21,0,12,0,5,0,1,40,59,22,35.32416,-15.39072,#N/A
Cobbe Barracks Hospital,11,2,2,2,9,0,20,1,2,0,2,26,31,11,35.30534,-15.39094,#N/A
Comfort Health Centre,13,14,0,0,6,0,18,2,4,0,1,27,43,7,35.140784,-15.102454,Balaka-DHO
Daeyang Luke Hospital,10,13,1,0,8,1,14,0,0,3,4,12,25,13,33.80867,-13.87684,Lilongwe-DHO
David Gordon Memorial Hospital (Livingstonia Mission Hospital),13,2,2,1,6,0,18,0,8,0,4,22,25,10,34.1109,-10.60467,#N/A
Dedza District Hospital,349,77,27,14,150,11,263,0,127,50,158,427,518,319,34.33547,-14.38596,Dedza-DHO
Diamphwe Health Centre,19,33,1,1,19,0,3,0,61,5,2,33,67,21,34.08124,-14.13232,Lilongwe-DHO
Dickson Health Centre,13,0,0,0,5,0,6,0,10,0,4,18,18,9,33.65885,-14.26626,Lilongwe-DHO
Didi Health Centre,15,39,5,0,5,0,2,0,24,1,4,19,58,9,35.245667,-16.110902,Thyolo-DHO
Dolo Health Centre,72,14,1,1,13,0,16,1,0,0,39,40,56,52,34.36487,-15.80678,Chikwawa-DHO
Domasi Rural Hospital,60,4,1,2,49,2,56,1,13,2,13,71,78,64,35.39935,-15.28099,Zomba-DHO
Doviko Dispensary,4,0,0,0,1,0,3,0,0,0,0,12,12,1,34.59094,-15.0822,Ntcheu-DHO
Dowa District Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.93625,-13.65432,Dowa-DHO
Dwambazi Rural Hospital,3,3,0,0,16,0,18,0,0,0,4,46,49,20,33.99194,-12.23405,Nkhotakota-DHO
Dwangwa Cane Growers Limited Dispensary,4,9,0,0,16,0,12,0,4,0,0,15,24,16,34.1191,-12.52114,Nkhotakota-DHO
Dwangwa Health Centre,11,5,0,0,16,0,6,0,0,0,0,13,18,16,33.4537,-12.88142,Kasungu-DHO
Dzaleka Refugee Camp Health Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.87042,-13.66168,Dowa-DHO
Dzenje Health Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.462732,-16.067525,Mulanje-DHO
Dzenza Health Centre,14,0,1,0,11,1,14,0,1,0,0,15,15,12,33.74689,-13.87598,Lilongwe-DHO
Dzindevu Health Centre,0,14,0,0,6,0,4,0,0,0,1,12,26,7,34.35998,-14.20004,Dedza-DHO
Dziwe Health Centre,12,2,1,1,1,0,7,0,0,0,0,13,16,1,34.88037,-15.563612,Blantyre-DHO
Dzoole Health Centre,5,3,0,0,0,0,6,0,0,1,0,9,12,0,33.66156,-13.58537,Dowa-DHO
Dzunje Dispensary,16,10,1,1,4,1,1,0,4,1,5,13,24,10,34.73608,-14.80787,Ntcheu-DHO
Edingeni Rural Hospital,5,0,0,0,8,0,16,0,18,1,2,12,12,10,33.31295,-12.04072,Mzimba-South-DHO
Ehehleni Dispensary,0,2,0,0,3,0,1,0,0,0,0,10,12,3,33.58912,-12.2621,Mzimba-South-DHO
Ekwaiweni Health Centre,9,1,2,0,2,0,0,0,2,0,0,10,11,2,33.89766,-11.42309,Mzimba-North-DHO
Ekwendeni Mission Hospital,286,1,4,0,55,2,45,0,2,3,33,64,65,90,33.88342,-11.37156,Mzimba-North-DHO
Embangweni Hospital,34,16,1,1,18,0,24,0,0,0,0,17,34,18,33.47681,-12.13665,Mzimba-South-DHO
Emfeni Health Centre,12,23,0,1,21,0,1,0,1,0,0,16,40,21,33.60976,-12.59406,Mzimba-South-DHO
Emsizini Health Centre,2,0,0,0,0,0,0,0,0,0,2,10,10,2,33.82485,-11.44435,Mzimba-North-DHO
Endindeni Health Centre,0,7,0,0,5,0,7,0,7,0,0,4,11,5,33.5561,-11.75818,Mzimba-South-DHO
Engucwini Health Centre,17,0,0,1,11,0,4,0,1,0,11,30,31,22,33.82314,-11.19761,Mzimba-North-DHO
Enukweni Health Centre,7,17,1,0,8,1,4,0,0,0,1,35,52,10,33.88592,-11.18005,Mzimba-North-DHO
Euthini Rural Hospital,11,0,0,0,20,0,11,0,0,0,4,16,16,24,33.41925,-11.45836,Mzimba-South-DHO
Fpam Clinic Kawale,15,12,3,0,14,1,10,0,9,1,1,34,46,16,33.79949,-13.99076,#N/A
Fulirwa Health Centre,7,1,0,0,9,0,6,0,0,0,3,20,21,12,34.11211,-10.44772,Karonga-DHO
Gaga Health Centre,16,13,0,0,17,1,12,0,6,0,10,19,32,28,34.299339,-15.883962,Chikwawa-DHO
Ganya Health Centre,0,1,0,0,7,0,1,0,0,1,6,9,10,13,34.61808,-14.60964,#N/A
Gawanani Health Centre,9,1,0,0,4,0,9,0,2,0,6,11,12,10,35.20293,-15.2238,Machinga-DHO
Gogo Nazombe health centre,21,0,0,0,12,0,2,0,0,0,8,34,34,20,35.61875,-15.82471,Phalombe-DHO
Gogode Health Centre,13,0,0,0,2,0,11,0,0,0,0,16,16,2,33.56134,-12.88773,Kasungu-DHO
Golomoti Health Centre,81,3,0,1,27,0,13,0,0,0,24,79,83,51,34.60092,-14.41303,Dedza-DHO
Gowa Health Centre,6,5,0,1,2,0,9,0,1,0,7,5,11,9,34.59001,-14.69906,Ntcheu-DHO
Guilleme St Michaels Mission Hospital,13,6,0,0,11,0,18,8,1,0,10,20,34,21,33.07557,-13.88998,Mchinji-DHO
Gumba Dispensary,10,3,1,0,4,0,1,0,1,1,0,21,24,4,33.11137,-13.42125,Mchinji-DHO
H Parker Sharp Dispensary,0,1,0,0,3,0,4,0,1,0,7,3,4,10,35.36092,-15.29912,Zomba-DHO
Hallena Oakely Health Centre,5,6,0,0,3,0,4,0,1,0,1,9,15,4,35.084549,-16.126633,Thyolo-DHO
Hara Dispensary,4,2,1,1,8,0,20,0,24,1,4,27,30,12,34.16939,-10.48876,Karonga-DHO
Hoho Health Centre,3,1,0,0,9,0,1,0,1,2,2,4,5,11,33.6864,-12.27815,Mzimba-South-DHO
Hunger (Majete) Health Centre,1,0,0,0,1,0,2,0,0,0,0,1,1,1,34.62398,-16.09819,Chikwawa-DHO
Iba Dispensary,5,0,3,0,5,0,0,0,7,0,2,5,5,7,35.39707,-14.30711,Mangochi-DHO
Ifumbo Health Centre,5,0,0,0,0,0,0,0,1,0,0,4,4,0,33.40495,-9.60436,Chitipa-DHO
Iponga Health Centre,9,1,1,0,14,0,12,1,1,0,5,16,18,19,33.81253,-9.64605,Karonga-DHO
Jalasi Health Centre,5,19,0,0,11,0,2,0,0,5,18,18,37,29,35.44253,-14.36298,Mangochi-DHO
Jalawe Health Centre,7,2,4,1,7,0,9,0,2,1,1,8,11,8,34.16172,-10.73052,Rumphi-DHO
Jenda Health Centre,9,1,0,0,10,0,12,0,1,2,14,25,26,24,33.54755,-12.35206,Mzimba-South-DHO
Kabudula Rural Hospital,101,38,11,1,36,0,70,0,27,4,28,65,104,64,33.44838,-13.81972,Lilongwe-DHO
Kabuwa Health Centre,25,0,0,0,10,0,16,0,1,1,5,30,30,15,34.07395,-12.51726,Mzimba-South-DHO
Kabwafu Health Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.52556,-11.30869,Mzimba-North-DHO
Kachere Health Centre,3,0,0,0,11,0,3,0,1,1,12,22,22,23,34.04961,-12.00327,Nkhata-Bay-DHO
Kadango Dispensary,16,5,0,1,5,0,0,0,0,0,19,41,47,24,35.18629,-14.06223,Mangochi-DHO
Kafele Health Centre,11,2,1,0,5,0,6,0,10,0,7,20,22,12,33.717632,-14.431678,Dedza-DHO
Kafukule Health Centre,10,10,2,0,7,0,10,0,0,0,1,15,25,8,33.63395,-11.4575,Mzimba-North-DHO
Kaigwazanga Health Centre,28,16,1,1,18,2,0,1,0,0,8,38,56,28,32.92836,-13.62678,Mchinji-DHO
Kakoma Health Centre,15,14,0,0,27,0,11,0,11,0,33,34,48,60,34.623634,-16.098239,Chikwawa-DHO
Kalemba Health Centre,10,0,0,0,12,0,10,0,3,0,28,9,9,40,35.21658,-17.0468,Nsanje-DHO
Kalembo Health Centre,72,5,0,0,21,1,22,0,6,1,31,51,56,53,34.92264,-15.05425,Balaka-DHO
Kalikumbi Health Centre,2,3,2,0,11,0,4,0,0,1,0,13,16,11,33.33352,-12.2038,Mzimba-South-DHO
Kalinde Health Centre,7,0,0,0,13,0,2,0,0,0,42,10,10,55,35.68542,-15.71922,Phalombe-DHO
Kalulu Health Centre,8,3,0,0,4,0,7,0,0,0,0,13,16,4,34.19753,-13.99695,Dedza-DHO
Kaluluma Rural Hospital,10,0,2,0,3,0,14,0,3,1,1,7,7,4,33.51859,-12.57759,Kasungu-DHO
Kambenje Health Centre,33,41,0,0,30,0,2,0,0,1,44,42,83,74,35.476907,-15.674962,Mulanje-DHO
Kamboni Health Centre,33,5,0,1,16,0,3,0,0,1,5,8,14,21,33.18189,-13.30759,Kasungu-DHO
Kameme Health Centre,12,2,2,0,14,0,5,0,1,0,7,19,21,21,33.13134,-9.54425,Chitipa-DHO
Kamsonga Health Centre,60,28,0,0,18,1,18,0,2,1,2,46,74,21,33.79949,-13.27411,Ntchisi-DHO
Kamteteka Health Centre,3,6,1,0,18,0,16,0,2,0,1,8,14,19,33.35892,-11.83649,Mzimba-South-DHO
Kamuzu Barracks Dispensary,17,2,1,0,7,0,14,0,0,1,0,16,18,7,33.82105,-13.98131,#N/A
Kamwe Health Centre,16,1,3,0,16,0,3,0,1,0,1,42,43,17,33.78911,-11.10265,Mzimba-North-DHO
Kande Health Centre,16,1,1,3,17,0,6,1,1,0,7,17,22,24,34.10944,-11.93641,Nkhata-Bay-DHO
Kandeu Health Centre,36,20,0,0,5,0,27,0,0,2,13,31,51,18,34.61621,-14.60262,Ntcheu-DHO
Kang'Oma Health Centre,44,10,0,1,23,0,9,0,1,1,1,39,50,24,33.88219,-13.97817,Lilongwe-DHO
Kangolwa Health Centre,27,23,0,1,13,0,20,0,3,3,9,23,47,22,34.07048,-13.37046,Ntchisi-DHO
Kankao Health Centre,2,4,0,1,4,0,2,0,0,1,3,9,14,7,35.093,-15.06495,Balaka-DHO
Kanyama Health Centre,11,0,0,0,8,0,5,2,1,3,3,23,25,11,34.32356,-14.24015,Dedza-DHO
Kanyezi Health Centre,23,19,5,0,7,0,0,0,0,0,0,22,41,7,33.95303,-14.31391,Dedza-DHO
Kaongozi Dispensary,1,2,0,0,1,0,0,0,0,0,0,10,12,1,34.04998,-12.43665,Nkhotakota-DHO
Kapanga Health Centre,19,6,1,2,10,0,21,0,25,3,15,35,43,25,33.30626,-14.05997,Mchinji-DHO
Kapelula Health Centre,1,0,0,0,11,0,1,0,0,0,0,4,4,11,33.87086,-12.87767,Kasungu-DHO
Kapenda Health Centre,18,3,0,0,8,0,25,0,2,0,4,28,31,12,33.24911,-9.49394,Chitipa-DHO
Kapeni Health Centre,17,0,0,4,7,0,2,0,3,0,11,12,16,18,34.77059,-15.00511,Ntcheu-DHO
Kaphatenga Health Centre,1,6,0,0,2,0,1,0,0,0,4,6,12,6,34.38418,-13.76222,Salima-DHO
Kaphuka Health Centre,36,2,1,0,9,0,4,2,0,4,10,19,23,19,34.19001,-14.16013,Dedza-DHO
Kapichira Escom Clinic,12,3,1,0,6,0,0,0,1,3,5,6,9,11,34.81651,-16.07416,Chikwawa-DHO
Kapire Health Centre,4,16,0,0,14,0,35,0,1,0,1,9,25,15,34.99945,-14.78576,Mangochi-DHO
Kapiri Health Centre (Nkhotakota),20,0,0,0,4,2,3,0,1,0,22,30,30,28,34.31136,-13.21616,Nkhotakota-DHO
Kaporo Rural Hospital,31,4,4,1,12,0,6,0,6,1,26,75,80,38,33.87466,-9.76756,Karonga-DHO
Karonga District Hospital,125,28,16,5,99,3,124,0,37,14,52,223,256,154,33.91113,-9.95545,Karonga-DHO
Kasalika Dispensary,40,22,6,1,12,0,10,3,3,2,9,27,53,21,33.49866,-13.03985,Kasungu-DHO
